"cv_aucs","test_aucs","model"
0.759098471293593,0.616025641025641,"L2_Linear_SVM"
0.714565610907074,0.679059829059829,"L2_Linear_SVM"
0.708537021341899,0.628632478632479,"L2_Linear_SVM"
0.764180033692229,0.63034188034188,"L2_Linear_SVM"
0.741005465395709,0.62991452991453,"L2_Linear_SVM"
0.706043063969893,0.702136752136752,"L2_Linear_SVM"
0.723439641732325,0.660683760683761,"L2_Linear_SVM"
0.753717654937167,0.529273504273504,"L2_Linear_SVM"
0.69513546647693,0.829059829059829,"L2_Linear_SVM"
0.726604653433922,0.682051282051282,"L2_Linear_SVM"
0.761848520994862,0.622649572649573,"L2_Linear_SVM"
0.740224457907385,0.56965811965812,"L2_Linear_SVM"
0.700496140740043,0.647008547008547,"L2_Linear_SVM"
0.715841538402514,0.744017094017094,"L2_Linear_SVM"
0.706876039802869,0.698290598290598,"L2_Linear_SVM"
0.728726374458082,0.579059829059829,"L2_Linear_SVM"
0.721935524374549,0.606196581196581,"L2_Linear_SVM"
0.762751427385574,0.595726495726496,"L2_Linear_SVM"
0.731423235081772,0.67008547008547,"L2_Linear_SVM"
0.721354978672052,0.676495726495727,"L2_Linear_SVM"
