"cost","loss","epsilon","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.1,"L2_dual",0.1,0.758628663506712,0.565465465465465,0.832288037166086,0.0705341840714889,0.0722251877048461,0.0703455566799005,"L2_Logistic_Regression"
0.2,"L2_dual",0.1,0.762659174854297,0.570870870870871,0.803600464576074,0.0738648237765598,0.0682679747189565,0.0649062199600157,"L2_Logistic_Regression"
0.3,"L2_dual",0.1,0.765280786012493,0.587087087087087,0.803600464576074,0.0741493445149739,0.0688893077895163,0.0649062199600157,"L2_Logistic_Regression"
0.4,"L2_dual",0.1,0.766588190978435,0.587087087087087,0.79883855981417,0.0744775912790374,0.0688893077895163,0.0694447513283683,"L2_Logistic_Regression"
0.5,"L2_dual",0.1,0.769290893681138,0.592492492492492,0.78931475029036,0.077584153707163,0.0706631556743551,0.0645858915155712,"L2_Logistic_Regression"
0.6,"L2_dual",0.1,0.767990289941509,0.597897897897898,0.784436701509872,0.0759040608065788,0.0608839881509607,0.0685230023930311,"L2_Logistic_Regression"
0.7,"L2_dual",0.1,0.767861589812809,0.597897897897898,0.784436701509872,0.0751486139440854,0.0608839881509607,0.0685230023930311,"L2_Logistic_Regression"
0.8,"L2_dual",0.1,0.767861589812809,0.597897897897898,0.784436701509872,0.0753137421883174,0.0608839881509607,0.0685230023930311,"L2_Logistic_Regression"
0.9,"L2_dual",0.1,0.767617792008036,0.592492492492492,0.789198606271777,0.0744099730614912,0.0706631556743551,0.0652464286646645,"L2_Logistic_Regression"
1,"L2_dual",0.1,0.768254491425223,0.587087087087087,0.789198606271777,0.0747970451910151,0.0633662097477753,0.0652464286646645,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.714408659530611,0.494594594594595,0.823112659698025,0.0501124959633248,0.0963163766551646,0.039136398351912,"L2_Logistic_Regression"
0.2,"L2_dual",0.1,0.71602787456446,0.532432432432432,0.799186991869919,0.0527639960481263,0.117652966809075,0.0542225910574495,"L2_Logistic_Regression"
0.3,"L2_dual",0.1,0.717497985790669,0.537987987987988,0.784901277584204,0.0540651871331981,0.109932573681971,0.0727461734889886,"L2_Logistic_Regression"
0.4,"L2_dual",0.1,0.71880539075661,0.548798798798799,0.784901277584204,0.053539806006189,0.104462320193954,0.0727461734889886,"L2_Logistic_Regression"
0.5,"L2_dual",0.1,0.719455692626424,0.543393393393393,0.7801393728223,0.0529565603770019,0.100371191972497,0.0825405314616566,"L2_Logistic_Regression"
0.6,"L2_dual",0.1,0.719963691914911,0.548948948948949,0.775377468060395,0.0553671512324647,0.100059050642194,0.0828248151713066,"L2_Logistic_Regression"
0.7,"L2_dual",0.1,0.719990896820165,0.543543543543544,0.7801393728223,0.0549240364870901,0.103134683249696,0.0842400501305102,"L2_Logistic_Regression"
0.8,"L2_dual",0.1,0.719882600370405,0.548948948948949,0.7801393728223,0.0540580011641442,0.107110849101557,0.0842400501305102,"L2_Logistic_Regression"
0.9,"L2_dual",0.1,0.719496499984305,0.548948948948949,0.7801393728223,0.054279105182943,0.107110849101557,0.0842400501305102,"L2_Logistic_Regression"
1,"L2_dual",0.1,0.718859800567118,0.548948948948949,0.77061556329849,0.0552683701663011,0.107110849101557,0.0810359465171334,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.764945782018953,0.554654654654655,0.846922183507549,0.066265955433713,0.0681787506172519,0.0396627997321966,"L2_Logistic_Regression"
0.2,"L2_dual",0.1,0.770640413933097,0.598348348348348,0.82787456445993,0.0622038596613186,0.0794342545239947,0.0420322619769792,"L2_Logistic_Regression"
0.3,"L2_dual",0.1,0.773884337298971,0.598498498498498,0.822880371660859,0.0616829260129742,0.0898369817831639,0.0366245204633416,"L2_Logistic_Regression"
0.4,"L2_dual",0.1,0.775190172751148,0.603903903903904,0.818002322880372,0.0604235527731613,0.0883107568803017,0.0409862516171603,"L2_Logistic_Regression"
0.5,"L2_dual",0.1,0.775849804508341,0.609309309309309,0.813240418118467,0.060239110770608,0.0924637254901754,0.0435222493587895,"L2_Logistic_Regression"
0.6,"L2_dual",0.1,0.77727091202701,0.609309309309309,0.808478513356562,0.0587141033548107,0.0924637254901754,0.0483244961327755,"L2_Logistic_Regression"
0.7,"L2_dual",0.1,0.777531451311939,0.609309309309309,0.813240418118467,0.0588436617149019,0.0924637254901754,0.0435222493587895,"L2_Logistic_Regression"
0.8,"L2_dual",0.1,0.777276754106022,0.603903903903904,0.813240418118467,0.0587398749280429,0.0943105511894148,0.0435222493587895,"L2_Logistic_Regression"
0.9,"L2_dual",0.1,0.776894228723497,0.603903903903904,0.808478513356562,0.0589667790062326,0.0943105511894148,0.0346622284109674,"L2_Logistic_Regression"
1,"L2_dual",0.1,0.777036356914406,0.609309309309309,0.808478513356562,0.0594537931319014,0.0924637254901754,0.0346622284109674,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.723491261296139,0.542942942942943,0.808826945412311,0.0462825317997384,0.0998560588735357,0.0600356172693485,"L2_Logistic_Regression"
0.2,"L2_dual",0.1,0.728569510276827,0.548348348348348,0.799186991869919,0.0443217695727973,0.0967181443395681,0.0457137752207032,"L2_Logistic_Regression"
0.3,"L2_dual",0.1,0.730546574449013,0.542942942942943,0.803948896631823,0.0418204097274593,0.101668395230351,0.0451966654825398,"L2_Logistic_Regression"
0.4,"L2_dual",0.1,0.730277926009633,0.553903903903904,0.799070847851336,0.0426823019127805,0.101276804972608,0.0430458156815534,"L2_Logistic_Regression"
