"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.14,0.740847642067154,0.548948948948949,0.765505226480836,0.0542803817793742,0.061667673874569,0.0204302908014213,"L2_Linear_SVM"
0.15,0.74048438682585,0.554504504504505,0.755749128919861,0.0529258732277965,0.054344191308426,0.0335075996835352,"L2_Linear_SVM"
0.16,0.741005465395709,0.543543543543544,0.770150987224158,0.0520982236570226,0.0432578387113752,0.0412544306064962,"L2_Linear_SVM"
0.2,0.736843202087105,0.554504504504505,0.746341463414634,0.0496701194962734,0.054344191308426,0.0403222192572789,"L2_Linear_SVM"
0.3,0.737107752351655,0.532582582582583,0.76527293844367,0.0478303565319261,0.0519690905438756,0.0534473901511602,"L2_Linear_SVM"
1,0.737107752351655,0.532582582582583,0.750987224157956,0.0478303565319261,0.0483275933292536,0.0341006829301255,"L2_Linear_SVM"
0.1,0.705007708056489,0.570720720720721,0.717886178861789,0.050289402312737,0.0338437905518231,0.0807152882534678,"L2_Linear_SVM"
0.12,0.704755190730801,0.581531531531531,0.68931475029036,0.0541135079621028,0.0448305704884579,0.101424223083115,"L2_Linear_SVM"
0.13,0.706043063969893,0.55990990990991,0.68931475029036,0.0554541933630638,0.0504524613498853,0.101424223083115,"L2_Linear_SVM"
0.14,0.704730514486612,0.554504504504505,0.708362369337979,0.0565436937588246,0.0430998937827848,0.0787645714015152,"L2_Linear_SVM"
0.15,0.704355575087282,0.549099099099099,0.732171893147503,0.0592493335235348,0.0382352573926324,0.07168824313921,"L2_Linear_SVM"
0.16,0.703586949318657,0.543543543543544,0.708362369337979,0.0604148339550807,0.0472913385826535,0.0649594544615132,"L2_Linear_SVM"
0.2,0.705406190162288,0.521921921921922,0.727409988385598,0.0609096700525083,0.0466867982904385,0.0719865742893158,"L2_Linear_SVM"
0.3,0.705161694795841,0.538138138138138,0.722648083623693,0.0655596914308625,0.0705673758142109,0.0718904737015431,"L2_Linear_SVM"
1,0.70515768381622,0.532732732732733,0.69883855981417,0.0650562612808124,0.0602699036843344,0.0752728389837521,"L2_Linear_SVM"
0.1,0.722633173242929,0.592342342342342,0.693960511033682,0.0476420583721669,0.0877222616853624,0.0374418125895816,"L2_Linear_SVM"
0.12,0.721597817329525,0.592042042042042,0.708246225319396,0.0462581636571551,0.111490404477115,0.0296753081409031,"L2_Linear_SVM"
0.13,0.72223774296945,0.613963963963964,0.698722415795586,0.0469388956391677,0.114351440426447,0.0345013231071747,"L2_Linear_SVM"
0.14,0.722361124190392,0.564864864864865,0.703368176538908,0.0468908131288765,0.10827689526492,0.0207374811806417,"L2_Linear_SVM"
0.15,0.722354846135334,0.592042042042042,0.703484320557491,0.0473769322364902,0.11786021665647,0.0385875283470013,"L2_Linear_SVM"
0.16,0.721711345491833,0.597447447447447,0.703484320557491,0.0465362898567135,0.11391192376932,0.03036616406289,"L2_Linear_SVM"
0.2,0.721352188425359,0.575825825825826,0.713124274099884,0.0430593782631395,0.11200788582599,0.0596094395542585,"L2_Linear_SVM"
0.3,0.723439641732325,0.570570570570571,0.717770034843206,0.0429624846653251,0.0966341916498744,0.0384439333162917,"L2_Linear_SVM"
1,0.722124912368815,0.592192192192192,0.717886178861789,0.0447052679062799,0.107300117040564,0.0411869354714818,"L2_Linear_SVM"
0.1,0.750615249395737,0.586936936936937,0.788966318234611,0.0305608520649377,0.0773608487358648,0.0689488650842326,"L2_Linear_SVM"
0.12,0.749450147011123,0.597747747747748,0.784320557491289,0.0318564273204625,0.0525214408121886,0.0732163454970625,"L2_Linear_SVM"
0.13,0.750100448880937,0.587087087087087,0.769802555168409,0.0331921652626585,0.0467880974500988,0.0810032716959911,"L2_Linear_SVM"
0.14,0.750229149009637,0.581531531531532,0.793960511033682,0.0336682636577871,0.0302339174676573,0.0699706263777872,"L2_Linear_SVM"
0.15,0.75282355526258,0.597747747747748,0.789198606271777,0.0333578276081064,0.03053442762177,0.0630368919084294,"L2_Linear_SVM"
0.16,0.751279153718178,0.586936936936937,0.779907084785134,0.0321029547835458,0.0519387144863533,0.0259478578545283,"L2_Linear_SVM"
0.2,0.753717654937167,0.592492492492492,0.77479674796748,0.0361503227497122,0.0413063035772959,0.0592738583670718,"L2_Linear_SVM"
0.3,0.75359575603478,0.586936936936937,0.779790940766551,0.0352090803762728,0.0400242398755486,0.0464710346449946,"L2_Linear_SVM"
1,0.75359575603478,0.570720720720721,0.794192799070848,0.0352090803762728,0.0510521550843348,0.0365267860569725,"L2_Linear_SVM"
0.1,0.69513546647693,0.571171171171171,0.727061556329849,0.0272020028154044,0.0744538865275473,0.090894289650061,"L2_Linear_SVM"
0.12,0.691527851893706,0.571021021021021,0.712543554006969,0.0255625085570122,0.0944807217741648,0.109305035815849,"L2_Linear_SVM"
0.13,0.688656600851723,0.570870870870871,0.722183507549361,0.0257441303399002,0.0532387631094954,0.0913897349010077,"L2_Linear_SVM"
0.14,0.687099207221158,0.587237237237237,0.688617886178862,0.0263147054511322,0.0562321834437473,0.0940877669410109,"L2_Linear_SVM"
0.15,0.685019863068644,0.582132132132132,0.712891986062718,0.0256031260515706,0.0696775974054273,0.0875372698699684,"L2_Linear_SVM"
0.16,0.684630623655014,0.56006006006006,0.736701509872242,0.0258221638384475,0.0704906582240571,0.0927150137012108,"L2_Linear_SVM"
0.2,0.681128864055693,0.587087087087087,0.698373983739837,0.0271228026357183,0.0505406386777983,0.0696701974943824,"L2_Linear_SVM"
0.3,0.683871938140231,0.56006006006006,0.712775842044135,0.0267114715676558,0.0452448023222804,0.0701417566286368,"L2_Linear_SVM"
1,0.683736959956472,0.56006006006006,0.727061556329849,0.0261304458749217,0.0452448023222804,0.0774222073751715,"L2_Linear_SVM"
0.1,0.725376683303513,0.581831831831832,0.727293844367015,0.0486586617183163,0.0597825797345899,0.0798976728514239,"L2_Linear_SVM"
0.12,0.725632252461521,0.598048048048048,0.717770034843206,0.0501381727437828,0.0566993290349376,0.0811170563146495,"L2_Linear_SVM"
0.13,0.725259580137629,0.587387387387387,0.713008130081301,0.0517511687260366,0.0796673548448077,0.0854501547139287,"L2_Linear_SVM"
0.14,0.726198934125763,0.592642642642643,0.71753774680604,0.0512911500984502,0.0748261639446158,0.0786448105431843,"L2_Linear_SVM"
0.15,0.72633923121728,0.592642642642643,0.732171893147503,0.0530995834652562,0.051740835429938,0.0773921465036402,"L2_Linear_SVM"
0.16,0.726604653433922,0.630630630630631,0.712775842044135,0.054266823043794,0.0277676306440044,0.0796059016847471,"L2_Linear_SVM"
0.2,0.725178227007495,0.598198198198198,0.73205574912892,0.0542690243606772,0.0487652922620697,0.0957947036146454,"L2_Linear_SVM"
0.3,0.724406026235294,0.581981981981982,0.72253193960511,0.0583645336023879,0.0776553583405764,0.0882364003764718,"L2_Linear_SVM"
1,0.724406026235294,0.581981981981982,0.736817653890825,0.0583645336023879,0.0926658801486399,0.0875284087110387,"L2_Linear_SVM"
0.1,0.761495990764283,0.581081081081081,0.77061556329849,0.0494386648002375,0.109784302765351,0.116846020164921,"L2_Linear_SVM"
0.12,0.760943173138295,0.586786786786787,0.789663182346109,0.0422727164363418,0.0933011334223454,0.0876506520595122,"L2_Linear_SVM"
0.13,0.760422530544482,0.603153153153153,0.761091753774681,0.0392519964565448,0.091325982226441,0.118450244781411,"L2_Linear_SVM"
0.14,0.761848520994862,0.592042042042042,0.789663182346109,0.0373804156678134,0.0811568159251794,0.0876506520595122,"L2_Linear_SVM"
0.15,0.761591120737462,0.586636636636637,0.784901277584204,0.0355621523645817,0.0882820318103519,0.0644842531880262,"L2_Linear_SVM"
0.16,0.760801480923432,0.554054054054054,0.799303135888502,0.0352535867915565,0.0886140341121892,0.0829196309547227,"L2_Linear_SVM"
0.2,0.759123409123409,0.597747747747748,0.799186991869919,0.0329665771305095,0.0489210757243584,0.0542225910574495,"L2_Linear_SVM"
0.3,0.759447949691852,0.592342342342342,0.794425087108014,0.0325936912799912,0.0741876986126153,0.0864034611867974,"L2_Linear_SVM"
1,0.759579788848082,0.592342342342342,0.789663182346109,0.0326147405776257,0.0789574240673789,0.08092496498847,"L2_Linear_SVM"
0.1,0.740224457907385,0.564564564564565,0.77061556329849,0.0459328046782564,0.0772653473289406,0.0481157349279381,"L2_Linear_SVM"
0.12,0.739465249221347,0.564564564564565,0.75609756097561,0.044402096651558,0.0772653473289406,0.0382284115984176,"L2_Linear_SVM"
0.13,0.737003466881516,0.553603603603604,0.7801393728223,0.044462975427451,0.0863585295930362,0.0377816331784117,"L2_Linear_SVM"
0.14,0.735460024484415,0.559009009009009,0.779907084785134,0.0444898957430973,0.0882756471921021,0.0309311823126267,"L2_Linear_SVM"
0.15,0.735591863640644,0.553603603603604,0.765621370499419,0.0445442454212679,0.0863585295930362,0.0453121714482587,"L2_Linear_SVM"
