"normal","cancer","names","model"
0.786561264822134,0.786561264822134,"fit_result","L2_Logistic_Regression"
0.596486894112752,0.596486894112752,"Otu00110","L2_Logistic_Regression"
0.589569898065321,0.589569898065321,"Otu00002","L2_Logistic_Regression"
0.58729457041814,0.58729457041814,"Otu00068","L2_Logistic_Regression"
0.585734345745787,0.585734345745787,"Otu00822","L2_Logistic_Regression"
0.5856433326399,0.5856433326399,"Otu00477","L2_Logistic_Regression"
0.585266278344082,0.585266278344082,"Otu00361","L2_Logistic_Regression"
0.584187122945704,0.584187122945704,"Otu00264","L2_Logistic_Regression"
0.583732057416268,0.583732057416268,"Otu00224","L2_Logistic_Regression"
0.583094965675057,0.583094965675057,"Otu00044","L2_Logistic_Regression"
0.766083315997504,0.766083315997504,"fit_result","L2_Logistic_Regression"
0.592404306220096,0.592404306220096,"Otu00128","L2_Logistic_Regression"
0.591962242562929,0.591962242562929,"Otu00109","L2_Logistic_Regression"
0.58929685874766,0.58929685874766,"Otu00002","L2_Logistic_Regression"
0.587554607863532,0.587554607863532,"Otu00058","L2_Logistic_Regression"
0.583211982525484,0.583211982525484,"Otu00014","L2_Logistic_Regression"
0.582288849594342,0.582288849594342,"Otu00361","L2_Logistic_Regression"
0.58201581027668,0.58201581027668,"Otu00108","L2_Logistic_Regression"
0.581170688579155,0.581170688579155,"Otu00033","L2_Logistic_Regression"
0.578427293530268,0.578427293530268,"Otu00092","L2_Logistic_Regression"
0.767994591221136,0.767994591221136,"fit_result","L2_Logistic_Regression"
0.594211566465571,0.594211566465571,"Otu00361","L2_Logistic_Regression"
0.587203557312253,0.587203557312253,"Otu00058","L2_Logistic_Regression"
0.586176409402954,0.586176409402954,"Otu00367","L2_Logistic_Regression"
0.583745059288538,0.583745059288538,"Otu00264","L2_Logistic_Regression"
0.582366860827959,0.582366860827959,"Otu00002","L2_Logistic_Regression"
0.578791345953817,0.578791345953817,"Otu00004","L2_Logistic_Regression"
0.577244123153734,0.577244123153734,"Otu00108","L2_Logistic_Regression"
0.576815061368837,0.576815061368837,"Otu00822","L2_Logistic_Regression"
0.57472175993343,0.57472175993343,"Otu00128","L2_Logistic_Regression"
0.76158466819222,0.76158466819222,"fit_result","L2_Logistic_Regression"
0.608097566049511,0.608097566049511,"Otu00002","L2_Logistic_Regression"
0.606524339504889,0.606524339504889,"Otu00058","L2_Logistic_Regression"
0.591897233201581,0.591897233201581,"Otu00367","L2_Logistic_Regression"
0.590115976700645,0.590115976700645,"Otu00361","L2_Logistic_Regression"
0.589972956105679,0.589972956105679,"Otu00014","L2_Logistic_Regression"
0.589673913043478,0.589673913043478,"Otu00109","L2_Logistic_Regression"
0.588009673392969,0.588009673392969,"Otu00003","L2_Logistic_Regression"
0.587892656542542,0.587892656542542,"Otu00044","L2_Logistic_Regression"
0.587528604118993,0.587528604118993,"Otu00822","L2_Logistic_Regression"
0.781581547742875,0.781581547742875,"fit_result","L2_Logistic_Regression"
0.597774079467443,0.597774079467443,"Otu00002","L2_Logistic_Regression"
0.596759933430414,0.596759933430414,"Otu00367","L2_Logistic_Regression"
0.59591481173289,0.59591481173289,"Otu00058","L2_Logistic_Regression"
0.595693779904306,0.595693779904306,"Otu00822","L2_Logistic_Regression"
0.587697628458498,0.587697628458498,"Otu00014","L2_Logistic_Regression"
0.58200280840441,0.58200280840441,"Otu00005","L2_Logistic_Regression"
0.581066673600999,0.581066673600999,"Otu00155","L2_Logistic_Regression"
0.58070262117745,0.58070262117745,"Otu00110","L2_Logistic_Regression"
0.579545454545455,0.579545454545455,"Otu00109","L2_Logistic_Regression"
0.76387299771167,0.76387299771167,"fit_result","L2_Logistic_Regression"
0.610970979821094,0.610970979821094,"Otu00058","L2_Logistic_Regression"
0.609046702725192,0.609046702725192,"Otu00002","L2_Logistic_Regression"
0.589699916788017,0.589699916788017,"Otu00264","L2_Logistic_Regression"
0.587060536717287,0.587060536717287,"Otu00822","L2_Logistic_Regression"
0.586137403786145,0.586137403786145,"Otu00024","L2_Logistic_Regression"
0.586020386935719,0.586020386935719,"Otu00110","L2_Logistic_Regression"
0.584421156646557,0.584421156646557,"Otu00092","L2_Logistic_Regression"
0.582288849594342,0.582288849594342,"Otu00361","L2_Logistic_Regression"
0.581898793426253,0.581898793426253,"Otu00367","L2_Logistic_Regression"
0.759699396713127,0.759699396713127,"fit_result","L2_Logistic_Regression"
0.624531932598294,0.624531932598294,"Otu00058","L2_Logistic_Regression"
0.61145204909507,0.61145204909507,"Otu00002","L2_Logistic_Regression"
0.60713542750156,0.60713542750156,"Otu00128","L2_Logistic_Regression"
0.600296442687747,0.600296442687747,"Otu00367","L2_Logistic_Regression"
0.595641772415228,0.595641772415228,"Otu00014","L2_Logistic_Regression"
0.594848658206782,0.594848658206782,"Otu00822","L2_Logistic_Regression"
0.594627626378198,0.594627626378198,"Otu00109","L2_Logistic_Regression"
0.59324942791762,0.59324942791762,"Otu00017","L2_Logistic_Regression"
0.591429165799875,0.591429165799875,"Otu00361","L2_Logistic_Regression"
0.780268358643645,0.780268358643645,"fit_result","L2_Logistic_Regression"
0.606381318909923,0.606381318909923,"Otu00002","L2_Logistic_Regression"
0.602870813397129,0.602870813397129,"Otu00155","L2_Logistic_Regression"
0.601713646765134,0.601713646765134,"Otu00058","L2_Logistic_Regression"
0.599724360307884,0.599724360307884,"Otu00128","L2_Logistic_Regression"
0.593561472852091,0.593561472852091,"Otu00108","L2_Logistic_Regression"
0.592014250052007,0.592014250052007,"Otu00367","L2_Logistic_Regression"
